SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,MonthlyIncome_NA,NumberOfDependents_NA,TotalPastDueEvents,HasDependents,HasRealEstateLoan,HighRevolvingUtilization,DebtRatioAboveOne,IncomePerDependent,ApproxMonthlyDebt,LogMonthlyIncome
1,0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2.0,0,0,2,1,1,0,0,3040.0,7323.19701648,9.11833472618016
0,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1.0,0,0,0,1,0,0,0,1300.0,316.8781226,7.8636512654486515
0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0,0,0,2,0,0,0,0,3042.0,258.91488675,8.02059914989697
0,0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0.0,0,0,0,0,0,0,0,3300.0,118.9639506,8.101980731853192
0,0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0.0,0,0,1,0,1,0,0,63588.0,1584.97509366,11.060195778394762
0,0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1.0,0,0,0,1,1,0,0,1750.0,1314.6243915,8.160803920954665
0,0.305682465,57,0,5710.0,0.0,8,0,3,0,0.0,1,0,0,0,1,0,1,0.0,0.0,0.0
0,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0.0,0,0,0,0,0,0,0,3500.0,734.7900595,8.160803920954665
0,0.116950644,27,0,46.0,0.0,2,0,0,0,0.0,1,1,0,0,0,0,1,0.0,0.0,0.0
0,0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2.0,0,0,0,1,1,0,0,7894.666666666667,14359.393699284,10.072597215357852
0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0,0,0,0,0,0,0,0,2500.0,773.690525,7.824445930877619
0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0,0,0,0,1,1,0,0,2167.0,3455.46846876,8.779865100863852
0,0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2.0,0,0,0,1,1,0,0,4151.333333333333,3715.70165005,9.42987742769628
1,0.964672555,40,3,0.382964747,13700.0,9,3,1,1,2.0,0,0,7,1,1,0,0,4566.666666666667,5246.6170339,9.525224101853109
0,0.019656581,76,0,477.0,0.0,6,0,1,0,0.0,0,0,0,0,1,0,1,0.0,0.0,0.0
0,0.548458062,64,0,0.209891754,11362.0,7,0,1,0,2.0,0,0,0,1,1,0,0,3787.3333333333335,2384.790108948,9.338117741918008
0,0.061086118,78,0,2058.0,0.0,10,0,2,0,0.0,1,0,0,0,1,0,1,0.0,0.0,0.0
0,0.166284079,53,0,0.18827406,8800.0,7,0,0,0,0.0,0,0,0,0,0,0,0,8800.0,1656.811728,9.082620630373812
0,0.221812771,43,0,0.527887839,3280.0,7,0,1,0,2.0,0,0,0,1,1,0,0,1093.3333333333333,1731.47211192,8.0959035329611
0,0.602794411,25,0,0.065868263,333.0,2,0,0,0,0.0,0,0,0,0,0,0,0,333.0,21.934131579,5.811140992976701
0,0.200923382,43,0,0.430046338,12300.0,10,0,2,0,0.0,0,0,0,0,1,0,0,12300.0,5289.5699574,9.417435838868784
1,0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2.0,0,0,0,1,1,0,0,1000.0,1427.524158,8.006700845440367
0,0.9999999,39,0,0.241103559,2500.0,4,0,0,0,0.0,0,0,0,0,0,0,0,2500.0,602.7588975,7.824445930877619
0,0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0.0,0,0,0,0,0,0,0,7916.0,676.9144881240001,8.976767625171433
0,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0,0,0,0,0,1,0,0,2416.0,583.75837752,7.790282380703483
1,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1.0,0,0,0,1,1,0,1,2338.0,7459.404748768,8.450412157725886
0,0.052436094,58,0,0.097672186,8333.0,22,0,1,0,0.0,0,0,0,0,1,0,0,8333.0,813.902325938,9.0280988119824
0,0.034421473,69,0,0.042383047,2500.0,17,0,0,0,1.0,0,0,0,1,0,0,0,1250.0,105.9576175,7.824445930877619
0,0.452515828,24,0,0.011761247,3400.0,1,0,0,0,0.0,0,0,0,0,0,0,0,3400.0,39.9882398,8.131824785007195
0,0.392994586,58,2,0.436102527,5500.0,15,0,1,0,0.0,0,0,2,0,1,0,0,5500.0,2398.5638985,8.612685172875459
0,0.704073982,28,1,0.155201143,4200.0,8,0,0,0,0.0,0,0,1,0,0,0,0,4200.0,651.8448006000001,8.343077871169383
0,0.9999999,24,0,0.472703063,750.0,1,0,0,0,0.0,0,0,0,0,0,0,0,750.0,354.52729725,6.621405651764134
0,0.083418009,62,0,977.0,0.0,6,0,1,0,0.0,1,0,0,0,1,0,1,0.0,0.0,0.0
0,0.186868556,57,0,0.313812313,7000.0,9,0,2,0,0.0,0,0,0,0,1,0,0,7000.0,2196.686191,8.853808274977197
0,0.693329681,42,2,0.257731959,2230.0,7,0,0,0,0.0,0,0,2,0,0,0,0,2230.0,574.7422685700001,7.710205194432532
0,0.0,64,0,0.073538769,11000.0,9,0,1,0,0.0,0,0,0,0,1,0,0,11000.0,808.926459,9.305741456739437
0,0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1.0,0,0,3,1,1,0,0,2000.0,2271.43214,8.294299608857235
0,0.9999999,75,1,0.134078212,3400.0,1,0,1,0,1.0,0,0,1,1,1,0,0,1700.0,455.8659208,8.131824785007195
0,0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0.0,0,0,0,0,0,0,0,1000.0,9.99001,6.90875477931522
0,0.304490668,52,0,0.808340474,3500.0,10,0,2,0,0.0,0,0,0,0,1,0,0,3500.0,2829.191659,8.160803920954665
0,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0,0,0,1,0,1,0,0,5700.0,3075.4604448,8.648396877031582
0,0.07289757,81,0,75.0,0.0,7,0,0,0,0.0,1,0,0,0,0,0,1,0.0,0.0,0.0
0,0.469056842,31,0,0.048211004,9250.0,4,0,0,0,1.0,0,0,0,1,0,0,0,4625.0,445.951787,9.132486932771318
0,0.718705378,28,0,0.170125614,3661.0,4,0,0,0,1.0,0,0,0,1,0,0,0,1830.5,622.8298728540001,8.205764725234456
0,0.368875933,68,0,1687.5,1.0,31,0,1,0,0.0,0,0,0,0,1,0,1,1.0,1687.5,0.6931471805599453
0,0.000602723,70,0,0.177787036,16800.0,12,0,1,0,2.0,0,0,0,1,1,0,0,5600.0,2986.8222048,9.729193687429404
0,0.061440132,62,0,0.011167837,3133.0,2,0,0,0,0.0,0,0,0,0,0,0,0,3133.0,34.988833321,8.050065422915965
0,0.140110634,31,0,0.689370485,1937.0,4,0,2,0,0.0,0,0,0,0,1,0,0,1937.0,1335.310629445,7.569411792450712
0,0.834048027,38,0,0.393662026,13000.0,13,0,2,0,2.0,0,0,0,1,1,0,0,4333.333333333333,5117.606338,9.472781556562168
0,7.96e-05,70,0,0.256339661,6900.0,21,1,1,0,0.0,0,0,1,0,1,0,0,6900.0,1768.7436609,8.839421607620602
0,0.818977517,73,0,3095.0,0.0,9,0,1,1,0.0,0,0,1,0,1,0,1,0.0,0.0,0.0
1,0.728150491,31,0,0.824725092,3000.0,10,0,2,0,1.0,0,0,0,1,1,0,0,1500.0,2474.175276,8.006700845440367
0,0.9999999,62,0,0.0,2999.312805702835,1,0,0,0,0.0,1,0,0,0,0,0,0,2999.312805702835,0.0,8.006471830782269
0,0.028562367,51,0,0.306381499,5750.0,5,0,1,0,0.0,0,0,0,0,1,0,0,5750.0,1761.69361925,8.657129031713755
0,0.992015968,29,0,0.008064516,2231.0,1,0,0,0,0.0,0,0,0,0,0,0,0,2231.0,17.991935196,7.710653323501202
